20.00,1.00
20.00,1.01
20.01,1.02
20.01,1.04
20.01,1.05
20.02,1.06
20.02,1.07
20.03,1.09
20.03,1.10
20.03,1.11
20.04,1.12
20.04,1.13
20.04,1.15
20.05,1.16
20.05,1.17
20.05,1.18
20.06,1.19
20.06,1.21
20.07,1.22
20.07,1.23
20.07,1.24
20.08,1.26
20.08,1.27
20.08,1.28
20.09,1.29
20.09,1.30
20.10,1.32
20.10,1.33
20.10,1.34
20.11,1.35
20.11,1.36
20.11,1.38
20.12,1.39
20.12,1.40
20.12,1.41
20.13,1.43
20.13,1.44
20.14,1.45
20.14,1.46
20.14,1.47
20.15,1.49
20.15,1.50
20.15,1.51
20.16,1.52
20.16,1.53
20.16,1.55
20.17,1.56
20.17,1.57
20.18,1.58
20.18,1.60
20.18,1.61
20.19,1.62
20.19,1.63
20.19,1.64
20.20,1.66
20.20,1.67
20.21,1.68
20.21,1.69
20.21,1.70
20.22,1.72
20.22,1.73
20.22,1.74
20.23,1.75
20.23,1.77
20.23,1.78
20.24,1.79
20.24,1.80
20.25,1.81
20.25,1.83
20.25,1.84
20.26,1.85
20.26,1.86
20.26,1.87
20.27,1.89
20.27,1.90
20.27,1.91
20.28,1.92
20.28,1.94
20.29,1.95
20.29,1.96
20.29,1.97
20.30,1.98
20.30,2.00
20.30,2.01
20.31,2.02
20.31,2.03
20.31,2.04
20.32,2.06
20.32,2.07
20.33,2.08
20.33,2.09
20.33,2.11
20.34,2.12
20.34,2.13
20.34,2.14
20.35,2.15
20.35,2.17
20.36,2.18
20.36,2.19
20.36,2.20
20.37,2.21
20.37,2.23
20.37,2.24
20.38,2.25
20.38,2.26
20.38,2.28
20.39,2.29
20.39,2.30
20.40,2.31
20.40,2.32
20.40,2.34
20.41,2.35
20.41,2.36
20.41,2.37
20.42,2.38
20.42,2.40
20.42,2.41
20.43,2.42
20.43,2.43
20.44,2.45
20.44,2.46
20.44,2.47
20.45,2.48
20.45,2.49
20.45,2.51
20.46,2.52
20.46,2.53
20.47,2.54
20.47,2.55
20.47,2.57
20.48,2.58
20.48,2.59
20.48,2.60
20.49,2.62
20.49,2.63
20.49,2.64
20.50,2.65
20.50,2.66
20.51,2.68
20.51,2.69
20.51,2.70
